m,n,func,seed,ins_ms,coll_tbl,coll_lst,find_ms_hits,find_ms_misses,cmp_hits,cmp_misses,checksum
1009,1000,H_DIV,137,924600,374,505,208600,82200,1,1,4288
1009,1000,H_DIV,271828,416700,356,470,96700,81500,1,1,4288
1009,1000,H_DIV,314159,396900,358,493,83300,81700,1,1,4288
1009,10000,H_DIV,137,4151800,8991,49178,1671300,1745100,7,7,13288
1009,10000,H_DIV,271828,4188300,8991,49180,1020500,1001200,7,7,13288
1009,10000,H_DIV,314159,2719100,8991,49501,1169900,1058700,7,7,13288
1009,100000,H_DIV,137,266578100,98991,4954711,122322900,141905900,71,75,103288
1009,100000,H_DIV,271828,277198700,98991,4950719,174146800,176789900,71,75,103288
1009,100000,H_DIV,314159,285757300,98991,4956887,213538800,165633600,71,75,103288
1009,1000,H_MUL,137,896100,367,520,67500,68600,1,1,4288
1009,1000,H_MUL,271828,852400,374,500,149400,126300,1,1,4288
1009,1000,H_MUL,314159,375900,400,562,112900,191000,1,1,4288
1009,10000,H_MUL,137,1258100,8991,49290,908100,1804900,7,8,13288
1009,10000,H_MUL,271828,1666500,8991,49353,1367900,1381400,7,7,13288
1009,10000,H_MUL,314159,1664100,8991,49576,1305000,1397300,7,8,13288
